account_id,threat_level,failed_transactions
C959315595,27,0
C942236895,22,23
C1200853822,19,2
C1279746199,51,2
C348378330,27,4
C1534395832,2,13
C2117428778,33,8
C1664793583,20,3
C1979771221,24,0
C2106083915,52,5
C491847975,71,0
C1758694346,1,1
C191831459,17,2
C1055109410,26,13
C813203510,42,1
C200762864,35,1
M1034180581,21,2
C822223784,14,3
C782152010,0,6
M1774309139,28,0
M196849738,1,0
M2082814808,45,1
C911057823,29,12
C1035275557,35,1
C303584794,81,1
C755587634,28,3
C2117766371,22,4
C1566849174,2,2
C767904468,81,3
C226939806,31,3
C370061672,44,0
C1204249812,1,3
C892226884,9,37
C867056322,5,4
C521910970,21,2
M497335883,41,2
C1218834080,0,3
C943173894,28,3
C158931739,32,21
C816664665,9,2
C47741354,29,1
C1857403101,16,0
C679014871,53,3
C1070142663,14,3
C376735271,28,2
C800984331,2,3
C1467287937,11,4
C594387790,0,3
C273631269,57,12
C175916229,25,2
C950286142,17,0
C2026667839,11,1
C1751556400,3,2
C1199373292,2,1
C1562370595,20,35
C2113508466,24,3
C1814580342,54,0
C1114305029,27,2
C1515376983,21,19
C1689836031,0,4
C335109669,4,3
C86672379,20,3
C1410687550,5,3
M878701750,6,1
M1834041945,33,1
C614846258,28,38
C156590310,27,2
C1060563153,25,3
C109752079,24,4
C2039039422,25,3
C1602196053,99,8
C486342629,16,5
M642146178,41,35
C2060521119,88,3
C466527004,33,2
C1312243934,25,0
C446782589,19,2
C859779525,20,0
C1275149278,24,3
C2087349242,9,4
C709934838,18,1
C1144218955,4,4
C1815247152,28,0
C1911351356,25,15
C1729349187,53,1
C239904285,23,0
C408365328,33,2
C30137847,9,1
C1168986145,0,4
C861589152,94,3
M426752680,18,1
C1115567218,10,2
C1215928541,27,1
C213245334,12,3
C1010605974,75,2
C4673111,2,4
C86675762,11,1
C652653227,38,7
C178385303,43,1
C932567562,25,39
C336292838,11,4
C343758161,69,1
C1011115896,29,3
C192714299,7,2
M760453125,45,2
C137468499,5,0
C2125522547,22,11
C320722023,28,3
C264834777,59,3
C1649813330,20,0
C1898150915,4,4
C558133196,34,3
C712263993,45,2
C1671785079,59,3
C1131240951,17,2
M370699415,1,0
M1335913998,12,1
C928565288,17,4
C835899289,40,0
C357561283,12,1
M528361716,53,19
C477592424,68,3
M1267134295,28,14
C1357105655,16,7
C530689982,28,0
M564008478,16,4
C1984685329,54,4
C478864485,23,3
C1387580654,5,4
C1310743894,19,4
C1131695802,9,2
C2095596292,50,31
M518842979,11,2
C1854733143,4,1
M1844126616,6,2
C2018411120,6,2
C465167265,14,2
C797365683,66,0
M1999713647,45,3
C260474398,22,2
C216801608,62,2
M822725138,19,1
C1104215404,39,1
C1572378379,14,1
C1123237056,24,2
C311508556,3,3
C1916372291,41,4
M1284801260,16,4
C15464140,15,3
C2001925235,10,0
C2011652036,72,48
C1115870730,48,4
C1134131764,23,4
C1927803806,9,7
C637391075,30,2
C1390305801,42,3
C368771753,3,2
C1453384672,53,1
C434954594,38,0
C1418501559,41,1
C307046937,9,0
C824215467,24,4
C710026601,90,6
C174200528,2,0
M781556114,14,1
M1770712449,14,39
C969333771,49,3
C781857196,23,4
C495173432,19,14
C1762297730,12,0
C1310033286,3,0
